Orthogroup	chimp	human	rhesus	Total
OG0000449	1	1	2	4
OG0000450	1	2	1	4
OG0000451	1	2	1	4
OG0000452	1	2	1	4
OG0000453	1	2	1	4
OG0000454	1	2	1	4
OG0000455	1	2	1	4
OG0000456	1	2	1	4
OG0000457	1	2	1	4
OG0000458	1	2	1	4
OG0000459	1	2	1	4
OG0000460	1	2	1	4
OG0000461	1	2	1	4
OG0000462	1	2	1	4
OG0000463	1	2	1	4
OG0000464	1	2	1	4
OG0000465	1	2	1	4
OG0000466	1	2	1	4
OG0000467	1	2	1	4
OG0000468	1	2	1	4
OG0000469	1	1	2	4
OG0000470	1	2	1	4
OG0000471	1	2	1	4
OG0000472	1	2	1	4
OG0000473	1	1	2	4
OG0000474	1	2	1	4
OG0000475	1	2	1	4
OG0000476	1	0	3	4
OG0000477	1	1	2	4
OG0000478	1	2	1	4
OG0000479	1	2	1	4
OG0000480	1	1	2	4
OG0000481	1	2	1	4
OG0000482	1	1	2	4
OG0000483	1	1	2	4
OG0000484	1	1	2	4
OG0000485	1	1	2	4
OG0000486	1	1	2	4
OG0000487	1	1	2	4
OG0000488	1	1	2	4
OG0000489	1	1	2	4
OG0000490	1	1	2	4
OG0000491	1	1	2	4
OG0000492	1	1	2	4
OG0000493	1	1	2	4
OG0000494	1	2	1	4
OG0000495	1	2	1	4
OG0000496	1	2	1	4
OG0000497	1	1	2	4
OG0000498	1	1	2	4
OG0000499	1	1	2	4
OG0000500	1	1	2	4
OG0000501	1	1	2	4
OG0000502	1	1	2	4
OG0000503	1	1	2	4
OG0000504	1	1	2	4
OG0000505	1	1	2	4
OG0000506	1	1	2	4
OG0000507	1	1	2	4
OG0000508	1	2	1	4
OG0000509	1	1	2	4
OG0000510	1	2	1	4
OG0000511	1	1	2	4
OG0000512	1	1	2	4
OG0000513	2	1	1	4
OG0000514	1	1	2	4
OG0000515	1	1	2	4
OG0000516	1	2	1	4
OG0000517	1	1	2	4
OG0000518	1	1	2	4
OG0000519	1	2	1	4
OG0000520	1	1	2	4
OG0000521	1	1	2	4
OG0000522	1	2	1	4
OG0000523	1	2	1	4
OG0000524	1	2	1	4
OG0000525	1	1	2	4
OG0000526	1	1	2	4
OG0000527	1	1	2	4
OG0000528	1	1	2	4
OG0000529	1	2	1	4
OG0000530	1	1	2	4
OG0000531	1	1	2	4
OG0000532	1	1	2	4
OG0000533	1	1	2	4
OG0000534	1	1	2	4
OG0000535	1	1	2	4
OG0000536	1	1	2	4
OG0000537	1	2	1	4
OG0000538	1	1	2	4
OG0000539	1	1	2	4
OG0000540	1	1	2	4
OG0000541	1	1	2	4
OG0000542	1	1	2	4
OG0000543	1	1	2	4
OG0000544	1	2	1	4
OG0000545	1	1	2	4
OG0000546	1	1	2	4
OG0000547	1	2	1	4
OG0000548	1	2	1	4
